group_id,team_id,team_name
A,MEX,Messico
A,RSA,Sudafrica
A,KOR,Corea del Sud
A,CZE,Cechia
B,CAN,Canada
B,QAT,Qatar
B,SUI,Svizzera
B,BIH,Bosnia ed Erzegovina
C,BRA,Brasile
C,MAR,Marocco
C,HAI,Haiti
C,SCO,Scozia
D,USA,Stati Uniti
D,PAR,Paraguay
D,AUS,Australia
D,TUR,Turchia
E,GER,Germania
E,CUW,Curaçao
E,CIV,Costa d'Avorio
E,ECU,Ecuador
F,NED,Paesi Bassi
F,JPN,Giappone
F,SWE,Svezia
F,TUN,Tunisia
G,BEL,Belgio
G,EGY,Egitto
G,IRN,Iran
G,NZL,Nuova Zelanda
H,ESP,Spagna
H,CPV,Capo Verde
H,KSA,Arabia Saudita
H,URU,Uruguay
I,FRA,Francia
I,SEN,Senegal
I,IRQ,Iraq
I,NOR,Norvegia
J,ARG,Argentina
J,DZA,Algeria
J,AUT,Austria
J,JOR,Giordania
K,POR,Portogallo
K,COD,Congo DR
K,UZB,Uzbekistan
K,COL,Colombia
L,ENG,Inghilterra
L,CRO,Croazia
L,GHA,Ghana
L,PAN,Panama
